,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category,tract
0,Adrian's Pizza,,11/7/2014,605,Thompson Run Rd,15237,40.539465,-79.990764,Take Out,429202
1,Adrian's Pizza Express,Rock Enterprises Inc,4/22/2004,7824,Perry Hwy,15237,40.551219,-80.037362,Take Out,429400
2,Allegheny Sandwich Shop,,2/24/1997,414,Grant St,15219,40.438109999999995,-79.99686,NO Dollar Menu,020100
3,Allegheny Sandwich Shoppe #3,Allegheny Sandwich Shoppe Inc,11/9/2001,440,Ross St,15219,40.438514,-79.99533000000001,NO Dollar Menu,020100
4,Amili's Pizzeria,,2/26/1999,1021,Brownsville Rd,15210,40.406082,-79.991863,Take Out,290200
5,Angelia's Pizza,JNG Pizza LLC,5/11/2004,202,Moon Clinton Rd,15108,40.513135,-80.22340600000001,Take Out,451103
6,Angelia's Pizza / Chill Frozen Dessserts,Eaton Pizza Inc,10/7/2005,410,Penn Lincoln Dr,15126,40.442465999999996,-80.23599200000001,Take Out,
7,Antney's Ice Cream,The Iceman Inc,4/11/2002,1316,Poplar St,15205,40.42747,-80.052435,"Breakfast, Drink, Other",281100
8,Arby's,Kinco Inc,1/1/1975,1617,Freeport Rd,15065,40.622125,-79.72751600000001,Dollar Menu,401300
9,Arby's #8,Linell Corporation,12/3/2007,3974,Wm Penn Hwy,15146,40.437988,-79.77284499999999,Dollar Menu,
10,Arby's #42,ARG Co.,7/10/1997,1378,Banksville Rd,15216,40.414684,-80.030651,Dollar Menu,202300
11,Arby's #164,ARG Co.,7/9/1997,3417,Forbes Ave,15213,40.439175,-79.960709,Dollar Menu,040500
12,Arby's #836,ARG Co.,6/17/1984,1140,Washington Pike,15017,40.3679,-80.103172,Dollar Menu,458000
13,Arby's #1203,ARG Co.,7/9/1997,2251,Noblestown Rd,15205,40.428509000000005,-80.0531,Dollar Menu,469000
14,Arby's #1414,ARG Co.,7/9/1997,6192,Steubenville Pike,15136,40.445808,-80.150631,Dollar Menu,459201
15,Arby's #1691,ARG Co.,7/10/1997,5030,Wm Flynn Hwy,15044,40.606809000000005,-79.94671899999999,Dollar Menu,
16,Arby's #1773,Arby's Restaurant Group,1/15/2016,19075,Perry Hwy,16046,40.622591299999996,-80.05337220000001,Dollar Menu,411000
17,Arby's #1853,ARG Co.,7/9/1997,3700,Library Rd,15234,40.364992,-80.020333,Dollar Menu,476100
18,Arby's #1854,ARG Co.,7/10/1997,1911,S Braddock Ave,15218,40.422721,-79.885611,Dollar Menu,515100
19,Arby's #1858,ARG Co.,7/7/1997,6105,Saltsburg Rd,15147,40.484691999999995,-79.819176,Dollar Menu,523702
20,Arby's #6941,ARG Co.,8/6/1999,2040,Lebanon Church Rd,15122,40.347809999999996,-79.94861,Dollar Menu,488600
21,Arby's #7345,ARG Co.,10/15/2002,4260,Ohio River Blvd,15202,40.487673,-80.055679,Dollar Menu,
22,Arby's #7502,ARG Co.,1/21/2004,1804,Golden Mile Hwy / Rt 286,15239,40.44655,-79.713077,Dollar Menu,526302
23,Arby's #7548,ARG Co.,5/26/2004,450,Clairton Blvd,15236,40.338077,-79.978961,Dollar Menu,
24,Arby's #7550,ARG Co.,5/26/2004,4810,McKnight Rd,15237,40.525384,-80.004977,Dollar Menu,429202
25,Arby's #7633,ARG Co,7/29/2005,5205,Library Rd,15102,40.333904,-80.023611,Dollar Menu,475401
26,Arby's #7678,RTM Operating Company,12/20/2005,2831,Jacks Run Rd,15131,40.338628,-79.806234,Dollar Menu,
27,Arby's #8042,ARG Co,11/24/2008,9100,University Blvd,15108,40.502499,-80.222638,Dollar Menu,
28,Arby's #8436,,1/12/2015,808,Liberty Ave,15222,40.442516,-79.998747,Dollar Menu,020100
29,Auntie Anne's,Romco Inc,2/25/2009,3075,Clairton Blvd / Century III Mall,15123,40.340291,-79.93852199999999,"Breakfast, Drink, Other",
30,Auntie Anne's,MM Pretzels LLC,11/1/2002,309,Monroeville Mall,15146,40.426747,-79.79493000000001,"Breakfast, Drink, Other",
31,Auntie Anne's / Cinnabon,EPOCH 5,3/30/2012,,Pgh Intl Airport / Ne-1,15231,40.495309000000006,-80.235291,"Breakfast, Drink, Other",
32,Auntie Anne's #Pa-219,Romco Inc,7/5/2005,110,Pittsburgh Mills Cir,15084,40.637815,-79.796052,"Breakfast, Drink, Other",
33,Auntie Anne's FC-9,Romco Corp,11/4/2003,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other",
34,Auntie Anne's Kiosk,Romco Inc,9/29/2004,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other",
35,Auntie Anne's Pa #163,Romco Inc,3/2/2009,1000,Ross Park Mall Dr,15232,40.544559,-80.008739,"Breakfast, Drink, Other",429201
36,Auntie Anne's Pretzels,M M Pretzels LLC,2/26/2003,200,Monroeville Mall (Food Court),15146,40.432471,-79.751203,"Breakfast, Drink, Other",
37,Auntie Anne's Pretzels #PA287,Monroeville Mall Pretzel,10/18/2013,,Monroville Mall,15146,40.430955,-79.794637,"Breakfast, Drink, Other",
